job_title,company_name,position_type,job_location,skills,experience
Sr Data Engineer,Michael Page,Full time,"Bengaluru / Bangalore, India","snowflake,Delta,Customer Data Syndication,Iceberg,AWS,Databricks",3-5 Years
Senior Data Engineer I,Respironics Inc,Full time,"Bengaluru / Bangalore, India","Kafka/Kinesis,Airflow,CI/CD,map reduce,No-SQL,AWS EMR,Aws Redshift",8-10 Years
GCP Data Engineer,Serendipity Corporate Services,Full time,Chennai,"composer,Gcp",4-10 Years
Data Engineer,Barclays,Full time,Chennai,"Logistic,conda,pip,LoopUp,linear regressions,t-tests,Python",0-2 Years
Data Engineer,PayU,Full time,"Bengaluru / Bangalore, India","Airflow,Kubeflow,Python,Sql,Github,Dockers,Postgres,Pyspark",0-2 Years
Data Engineer,InfoDriven Solutions Private Limited,Full time,"Hyderabad / Secunderabad, Telangana","Etl,Data Engineer,Sql,SSIS",4-6 Years
Sr Data Engineer,TransUnion,Full time,India,"Redshift/Bigquery,metadata driven transformations,CICD/Devops",8-10 Years
Urgent requirement Data Science Full Time,Company name confidential,"Jobs for Women, Full time","Bengaluru / Bangalore, Chennai","Data engineers,Azure Data Engineer,Data Science",5-9 Years
Cloud Data Engineer,Siemens Gamesa,Full time,"Bengaluru / Bangalore, India","transformations,Blob storage,Azure SQL server,Data Pipelines,SQL Server",0-2 Years
Data Engineer and Power Bi Developer,PwC,Full time,Bengaluru / Bangalore,"R,Power Bi,SAS,Qlik,Tableau,Sql,Python",4-8 Years
Data Engineer II,Providence India,Full time,India,"Express Route,Route tables,AKS,Scale sets,NSGs,App Gateway",4-7 Years
Data engineer,Intuitive Apps India Private Limited,Full time,Gurgaon / Gurugram,"databrics,dataengineerPL-SQL,Spark,Sql,SQL server",4-7 Years
Data Engineer,Michelin,Full time,"Pune, India","Data Collection,Security,solution validation,Troubleshooting,proactive approach",0-2 Years
Data Engineer-Associate-P&T,PwC,Full time,Bengaluru / Bangalore,"it processes,Motivational Skills,cloud based solutions,Interpersonal Skills",3-5 Years
Data Engineer,Ingram Micro,Full time,"Chennai, India","Flink,Python,Sql,Java,Kinesis,DataFlow,Kafka",5-7 Years
Data Engineer,QuEST Global Engineering Services Private Limited,Full time,"Bengaluru / Bangalore, India","data,Data Integration,Azure Sql,Cosmos,python,Spark,Data Management",2-7 Years
Senior Data Engineer,Ingram Micro,Full time,"Chennai, India","Flink,Python,Sql,Java,Kinesis,DataFlow,Kafka",7-9 Years
Data Engineer,PayU,Full time,"Bengaluru / Bangalore, India","Airflow,Kubeflow,Python,Sql,Github,Dockers,Postgres,Pyspark",0-2 Years
Senior Data Engineer,Ingram Micro,Full time,"Chennai, India","Flink,Python,Sql,Java,Kinesis,DataFlow,Kafka",7-9 Years
Data Engineer,Barclays,Full time,Chennai,"Logistic,conda,pip,LoopUp,linear regressions,t-tests,Python",0-2 Years
Data Engineer,Ingram Micro,Full time,"Chennai, India","Flink,Python,Sql,Java,Kinesis,DataFlow,Kafka",7-9 Years
Data Engineer,Ingram Micro,Full time,"Chennai, India","Flink,Python,Sql,Java,Kinesis,DataFlow,Kafka",7-9 Years
Data Engineer II,Microsoft,Full time,India,"AI/ML,Optimization,data engineering,Machine Learning,Internet Of Things",0-2 Years
Data Engineer II,Providence India,Full time,India,"Express Route,Route tables,AKS,Scale sets,NSGs,App Gateway",4-7 Years
Data Engineer,Moodys Analytics,Full time,"Bengaluru / Bangalore, India","Design Thinking,Microsoft Office Suite,data reporting,Sql,Etl,Agile",5-7 Years
Lead Data Engineer,Providence India,Full time,India,"snowflake,Hive,Sql,Databricks,Power Bi,Excel,Hadoop,Alteryx",6-10 Years
Senior Data Engineer,Ingram Micro,Full time,"Chennai, India","Flink,Python,Sql,Java,Kinesis,DataFlow,Kafka",7-9 Years
GCP Data Engineer,Tech Mahindra Limited,Full time,"Noida, Greater Noida","HDFS,Gcp,Bigdata,Hive,Hadoop",3-8 Years
Sr Data Engineer,Michael Page,Full time,"Bengaluru / Bangalore, India","snowflake,Delta,Customer Data Syndication,Iceberg,AWS,Databricks",3-5 Years
Data Engineer,Maiora It Services And Consulting Private Limited,Full time,Bengaluru / Bangalore,"Python,Py Spark,Sql",3-5 Years
Hexaware_Walk-in Drive_Big Data Engineer_Bangalore on 2nd & 3rd Sept'23,Hexaware Technologies Limited,Full time,"Chennai, Mumbai","Azure ADF,Big Data,Azure Data Bricks",4-12 Years
Lead Data Engineer,Quess IT Staffing (Formerly known as Magna Infotech),Full time,Bengaluru / Bangalore,"Data Engineer,Spark,Scala,Oozie,Hive,Shell script,Jenkins,Ansible",5-7 Years
Data Engineer,Resources Valley,Full time,Bengaluru / Bangalore,"Python Databricks,Sql,Pyspark,data engineering",3-7 Years
Big Data Engineer,Trinity Technology Solutions,Full time,Bengaluru / Bangalore,"Big Data Engineer,AWS",5-7 Years
Senior Data Engineer,Instahire Services Private Limited,Full time,Bengaluru / Bangalore,"Data Engineer,Hadoop,Hive,Spark,Kafka,Sqoop,Sql,oracle",6-8 Years
Hexaware_Walk-in Drive_Big Data Engineer_Bangalore on 2nd & 3rd Sept'23,Hexaware Technologies Limited,Full time,Noida,"Azure ADF,Big Data,Azure Data Bricks",4-12 Years
Data Engineer III - Tibco Spotfire Admin Developer Support,Mindquest Software Solutions Private Limited,Full time,"Chennai, Hyderabad / Secunderabad, Telangana","data virtualization,Tibco-spotfire,Tibco,Business Intelligence Tools",8-18 Years
Openings for GCP Data Engineer Requirement,STG Infotech (India) LLP,Full time,Chennai,"""Big query "",Data Proc,Sub/Pub,Gcp,Python",2-7 Years
Senior Data Engineer,Spectral Consultants,Full time,Noida,"snowflake,Etl tools Aws,glue,Data modelers,Pyspark,python",5-12 Years
Data Engineer,Maiora It Services And Consulting Private Limited,Full time,Bengaluru / Bangalore,"Hadoop,Bigdata,Python,Pyspark,Spark",4-6 Years
GCP Data Engineer,Tech Mahindra Limited,Full time,"Noida, Greater Noida","HDFS,Gcp,Bigdata,Hive,Hadoop",3-8 Years
Data Engineer -AWS,Quess IT Staffing (Formerly known as Magna Infotech),Full time,Chennai,"Data Engineer,AWS,Sql,Tableau",3-5 Years
data engineer,Ibronix Technology Solutions Private Limited,Full time,Chennai,Data Engineer,5-13 Years
Hexaware_Walk-in Drive_Big Data Engineer_Bangalore on 2nd & 3rd Sept'23,Hexaware Technologies Limited,Full time,Chennai,"Azure ADF,Big Data,Databricks,Pyspark,Python",4-12 Years
Data Engineer,Amazon Music,Full time,"Hyderabad / Secunderabad, Telangana, India","Warehousing,etl pipelines,data engineering,Big Data Technologies",6-8 Years
Data Engineer,Ringcentral,Full time,Bengaluru / Bangalore,"Stream sets,Airflow,Luigi,Azkaban,Hadoop,Scala,Kafka,Sql",4-6 Years
Data Engineer,Robert Bosch,Full time,India,"Spark,Shell,Bitbucket,Intellij,Nosql,hadoop,python,Scala",2-3 Years
Data Engineer -AWS,Quess IT Staffing (Formerly known as Magna Infotech),Full time,Chennai,"Data Engineer,AWS,Sql,Tableau",3-5 Years
Data Engineer EAC2 2023,Robert Bosch,Full time,India,"CI/CD,SourceCode,Prefect,Pandera,Python,Sql,Apache Airflow",4-6 Years
Data Engineer-cum-Scientist,Robert Bosch,Full time,India,"Problem-solving,Structured data,Team environment,Computer Science",5-7 Years
Lead Data Engineer,Quess IT Staffing (Formerly known as Magna Infotech),Full time,Bengaluru / Bangalore,"Data Engineer,Spark,Scala,Oozie,Hive,Shell script,Jenkins,Ansible",5-7 Years
Senior Data Engineer,3Pillar Global,Full time,India,"Data Collection,MDM,snowflake,Ai,Panda,Glue,Athena,S3",3-7 Years
GCP Data Engineer,Tech Mahindra Limited,Full time,"Noida, Greater Noida","HDFS,Gcp,Bigdata,Hive,Hadoop",3-8 Years
Data Engineer-ADF,Tata Group,Full time,"Thane, India","snowflake,Analytical functions,CTEs,analytical,SQL Databases",4-7 Years
Data_Engineer_EAC,Robert Bosch,Full time,India,"cloud resources,apache hadoop cluster systems,infrastructure as code",4-6 Years
Senior Data Engineer - Commercialization Reporting and Analytics [T500-8321],Bristol Myers Squibb,Full time,"Hyderabad / Secunderabad, Telangana, India","Patient,Glue Studio,Domino,Prescriber,Cloudera Data Platform",8-12 Years
Big Data Engineer,Trinity Technology Solutions,Full time,Bengaluru / Bangalore,"Big Data Engineer,AWS",5-7 Years
Data Engineer -Connected Care- Associate/Associate consultant,Eli Lilly And Company,Full time,Bengaluru / Bangalore,"mixed integer,gams,R,Optimization,Convex,nonlinear,SAS",3-5 Years
"Data Engineer, Python, GCP/Technical Lead/Consultant Specialist/Hyderabad/GDT : 0000JEQQ",HSBC,Full time,"Hyderabad / Secunderabad, Telangana, India","airflow,cloud sql,nifi,big query,Pubsub,Data Flow,rdbms,python",6-10 Years
"Data Engineer, Python, GCP/Technical Lead/Consultant Specialist/Hyderabad/GDT : 0000JEQQ",HSBC,Full time,"Hyderabad / Secunderabad, Telangana, India","airflow,cloud sql,nifi,big query,Pubsub,Data Flow,rdbms,python",6-10 Years
Consulting - BO - Cloud Engineering - Consultant - AWS Data Engineer,Deloitte,Full time,"Bengaluru / Bangalore, India","Athena,Airflow,AWS Lamba,RDS/Aurora,CodeCommit,Apache Kafka / Kinesis",3-5 Years
Senior Data Engineer,Quantiphi Analytics Solutions Private Limited,Full time,"Mumbai, India","snowflake,disk/storage technologies,Operating System Internals,Synapse",0-2 Years
"Data Engineer, Data Engineering",Atlassian,Full time,Bengaluru / Bangalore,"Airflow,Python,Sql,Databricks,Mongo Db,Dynamo Db,Postgres",5-7 Years
Data Engineer-cum-Scientist,Robert Bosch,Full time,India,"Problem-solving,Structured data,Team environment,Computer Science",5-7 Years
Data Engineer,Amazon Music,Full time,"Hyderabad / Secunderabad, Telangana, India","Warehousing,etl pipelines,data engineering,Big Data Technologies",6-8 Years
Associate Big Data Engineer,MetLife,Full time,"Hyderabad / Secunderabad, Telangana, India","HDFS,Problem Solving,Data Analysis,Data Bricks,Databricks/Delta Lake",1-3 Years
BU IDS - Dynamic Targeting - Sr Data Engineer,Eli Lilly And Company,Full time,Bengaluru / Bangalore,"changing circumstances,Interpersonal Skills,Business Processes,multiple tasks",3-6 Years
